Compound,m/z,rt
Histidine,326.125315,1.53
Arginine,345.167514,2.09
Serine,276.098432,2.28
Glycine,246.087867,2.56
Aspartic acid,304.093347,2.65
Glutamic acid,318.108997,2.94
Threonine,290.114082,3.07
Alanine,260.103517,3.43
Proline,286.119167,3.79
Lysine,317.161366,4.1
Tyrosine,352.129732,4.41
Methionine,320.106889,4.59
Valine,288.134817,4.64
Isoleucine,302.150467,5.22
Leucine,302.150467,5.26
Phenylalaine,336.134817,5.46
"Citrulline, 2H4",350.175913,2.8
"Ornithine, 2H6",309.182813,3.9
"Taurine, 2H4",300.095213,2.22
